op,kind,exists_in_library,is_operator_like,is_meaningful_op,count,datasets
torch.ormqr,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.outer,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.pairwise_distance,torch,True,True,True,13,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.pdist,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.permute,torch,True,True,True,6388,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.pixel_shuffle,torch,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.pixel_unshuffle,torch,True,True,True,3,cuda_agent_6k_ops
torch.poisson,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.polar,torch,True,True,True,6729,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.positive,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.pow,torch,True,True,True,9924,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.prod,torch,True,True,True,9649,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.promote_types,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.quantile,torch,True,True,True,4,cudallm_sft
torch.quantization.QuantStub,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.rad2deg,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.range,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.real,torch,True,True,True,116,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.reciprocal,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.relu,torch,True,True,True,11231,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.relu_,torch,True,True,True,1,cudallm_sft
torch.remainder,torch,True,True,True,8525,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.renorm,torch,True,True,True,22,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.repeat_interleave,torch,True,True,True,8032,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.reshape,torch,True,True,True,7927,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.return_types.median,torch,True,True,True,1,cudallm_sft
torch.roll,torch,True,True,True,8349,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.rot90,torch,True,True,True,7528,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.round,torch,True,True,True,8469,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.rsqrt,torch,True,True,True,6187,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.save,torch,True,True,True,4,cudallm_sft
torch.scatter,torch,True,True,True,6421,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.scatter_reduce,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.searchsorted,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.selu,torch,True,True,True,980,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.sgn,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.sigmoid,torch,True,True,True,11065,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.sign,torch,True,True,True,8667,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.signbit,torch,True,True,True,3,cuda_agent_6k_ops
torch.sin,torch,True,True,True,8803,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.sinc,torch,True,True,True,8586,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.sinh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.softmax,torch,True,True,True,10040,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.sort,torch,True,True,True,8528,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.split,torch,True,True,True,8146,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.split_with_sizes,torch,True,True,True,5987,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.split_with_sizes_copy,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.sqrt,torch,True,True,True,7473,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.square,torch,True,True,True,8857,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.squeeze,torch,True,True,True,8167,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.stack,torch,True,True,True,14202,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.std,torch,True,True,True,8686,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.std_mean,torch,True,True,True,13,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.stft,torch,True,True,True,3977,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.sub,torch,True,True,True,9200,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.subtract,torch,True,True,True,28,"cudallm_rl,drkernel_rl"
torch.sum,torch,True,True,True,10733,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.t,torch,True,True,True,6139,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.take,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.tan,torch,True,True,True,8523,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.tanh,torch,True,True,True,10899,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.tensor_split,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.tile,torch,True,True,True,10,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.topk,torch,True,True,True,8418,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.torch.pow,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.transpose,torch,True,True,True,8103,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.triangular_solve,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.tril,torch,True,True,True,9780,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.tril_indices,torch,True,True,True,69,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.triplet_margin_loss,torch,True,True,True,28,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.triu,torch,True,True,True,10212,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.triu_indices,torch,True,True,True,30,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.true_divide,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.trunc,torch,True,True,True,134,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.unbind,torch,True,True,True,7969,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.unique,torch,True,True,True,18,"cudallm_rl,drkernel_rl"
torch.unsafe_chunk,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.unsafe_split_with_sizes,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.unsqueeze,torch,True,True,True,8024,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.var,torch,True,True,True,39,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.var_mean,torch,True,True,True,3,cuda_agent_6k_ops
torch.vdot,torch,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.view_as_complex,torch,True,True,True,5895,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.view_as_real,torch,True,True,True,3548,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.where,torch,True,True,True,11126,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.xlogy,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
